farm_id,calculated_perimeter_m,calculated_area_ha,total area in ha
1,20216.37108,235.092278,396
2,226.1339424,0.137321882,0.3184
3,12283.35479,249.7077533,436
4,7994.366515,36.71386468,71
5,1157.359844,0.819243943,1.8887
6,16098.49342,213.5481797,335
7,3882.149262,46.83002209,86
8,1958.747335,7.726590113,17.368
9,56617.37314,1043.570057,1827
10,38202.56169,626.0434535,1095
11,1991.13875,16.53579235,24.3162
12,413.8053161,0.041035716,0.0952
13,5738.411478,39.89658295,70
14,3551.526938,40.56406034,73
15,3881.616014,49.74462099,91
16,9586.313247,94.87891148,171
17,13522.97187,214.3380699,386.5
18,8803.878558,129.3962775,230.3278
19,10005.90184,94.45726979,166
20,719.0804505,0.6910331,1.5764
21,2904.588993,25.33171635,45.6016
22,9078.132537,65.17219428,117
23,14328.44519,121.9151465,209
24,302.6877699,0.283169661,0.45
25,29142.68298,218.0537018,309.5
26,1026.39902,4.666612105,6.9738
27,31.76043046,0.002726548,0.0063
28,4181.908715,60.27141353,106
29,3088.057131,29.97869087,53
30,13510.2899,119.3819044,180
31,27764.25943,309.8709235,525.4
32,9132.744123,139.1154299,249
33,16282.52679,217.1898516,370
34,7930.436077,128.9261986,200
35,14774.97302,211.3180962,350
36,50.22941357,0.010214201,0.0152
37,28216.69187,396.4865928,684
38,8422.354273,81.79744531,145
39,40342.5135,448.0725516,781
40,15841.24883,209.2343821,300
41,2158.512868,15.24496355,25
42,15327.37698,154.9285653,240
43,27912.65558,340.8414072,599
44,7754.926931,103.5120898,184.2632
45,82074.02837,1070.645951,1877
46,17618.77825,257.1959949,458
47,15005.45261,207.5485905,363
48,4892.345344,73.22759491,129
49,40947.41201,436.3640059,743
50,20373.73211,192.7422123,335
51,3561.649086,44.98594325,74.2776
52,620.7608346,1.211009353,2.251
53,12504.51358,173.7954125,292
54,22189.88171,510.9654668,900
55,6330.216845,32.14544152,62
56,6078.306271,30.04318077,54
57,1204.654565,3.836371297,6.9145
58,5289.049636,59.23138951,103.9064
59,13.84070069,0.000809634,0.0012
60,2675.524753,29.96446549,44.4407
